plain_text_variable,acs2016_variable,description
rent_gross_0beds_4,B25068_007E,Gross rent from $500 to $749 for housing units with no bedrooms
rent_gross_0beds_5,B25068_008E,Gross rent from    $750 to $999 for housing units with no bedrooms
rent_gross_0beds_6,B25068_009E,Gross rent $1000 or more for housing units with no bedrooms
rent_gross_1beds_1,B25068_013E,Gross rent less than $200 for housing units with 1 bedroom
rent_gross_1beds_2,B25068_014E,Gross rent from $200 to $299 for housing units with 1 bedroom
rent_gross_1beds_3,B25068_015E,Gross rent from $300 to $499 for housing units with 1 bedroom
rent_gross_1beds_4,B25068_016E,Gross rent from $500 to $749 for housing units with 1 bedroom
rent_gross_1beds_5,B25068_017E,Gross rent from $750 to $999 for housing units with 1 bedroom
rent_gross_1beds_6,B25068_018E,Gross rent $1000 or more for housing units with 1 bedroom
rent_gross_2beds_1,B25068_022E,Gross rent less than $200 for housing units with 2 bedrooms
rent_gross_2beds_2,B25068_023E,Gross rent from $200 to $299 for housing units with 2 bedrooms
rent_gross_2beds_3,B25068_024E,Gross rent from $300 to $499 for housing units with 2 bedrooms
rent_gross_2beds_4,B25068_025E,Gross rent from $500 to $749 for housing units with 2 bedrooms
rent_gross_2beds_5,B25068_026E,Gross rent from $750 to $999 for housing units with 2 bedrooms
rent_gross_2beds_6,B25068_027E,Gross rent $1000 or more  for housing units with 2 bedrooms
rent_gross_3beds_1,B25068_031E,Gross rent less than $200 for housing units with 3 or more bedrooms
rent_gross_3beds_2,B25068_032E,Gross rent from $200 to $299 for housing units with 3 or more bedrooms
rent_gross_3beds_3,B25068_033E,Gross rent from $300 to $499 for housing units with 3 or more bedrooms
rent_gross_3beds_4,B25068_034E,Gross rent from $500 to $749 for housing units with 3 or more bedrooms
rent_gross_3beds_5,B25068_035E,Gross rent from $750 to $999 for housing units with 3 or more bedrooms
rent_gross_3beds_6,B25068_036E,Gross rent from $1000 or more for housing units with 3 or more bedrooms
pop_owned,B25008_002E,Total population in owner occupied housing units
pop_rented,B25008_003E,Total population in rented occupied housing units
house_own_0beds,B25042_003E,Number of owner occupied housing units with no bedroom
house_own_1beds,B25042_004E,Number of owner occupied housing units with 1 bedroom
house_own_2beds,B25042_005E,Number of owner occupied housing units with 2 bedrooms
house_own_3beds,B25042_006E,Number of owner occupied housing units with 3 bedrooms
house_own_4beds,B25042_007E,Number of owner occupied housing units with 4 bedrooms
house_own_5beds,B25042_008E,Number of owner occupied housing units with 5 or more bedrooms
house_rent_0beds,B25042_010E,Number of renter occupied housing units with No bedroom
house_rent_1beds,B25042_011E,Number of renter occupied housing units with 1 bedroom
house_rent_2beds,B25042_012E,Number of renter occupied housing units with 2 bedrooms
house_rent_3beds,B25042_013E,Number of renter occupied housing units with 3 bedrooms
house_rent_4beds,B25042_014E,Number of renter occupied housing units with 4 bedrooms
house_rent_5beds,B25042_015E,Number of renter occupied housing units with 5 or more bedrooms
own_costs_distr_01,B25094_002E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: Less than $100
own_costs_distr_02,B25094_003E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $100 to $199
own_costs_distr_03,B25094_004E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $200 to $299
own_costs_distr_04,B25094_005E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $300 to $399
own_costs_distr_05,B25094_006E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $400 to $499
own_costs_distr_06,B25094_007E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $500 to $599
own_costs_distr_07,B25094_008E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $600 to $699
own_costs_distr_08,B25094_009E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $700 to $799
own_costs_distr_09,B25094_010E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $800 to $899
own_costs_distr_10,B25094_011E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $900 to $999
own_costs_distr_11,B25094_012E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $1000 to $1499
own_costs_distr_12,B25094_013E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $1500 to $1999
own_costs_distr_13,B25094_014E,Selected Monthly Owner Costs for Owner-Occupied Housing Units: $2000 or more
rent_gross_cashtot,B25063_002E,Total number of renter-occupied housing units with cash rent
rent_gross_distr_01,B25063_003E,Gross rent less than $100
rent_gross_distr_02,B25063_004E,Gross rent $100 to $149
rent_gross_distr_03,B25063_005E,Gross rent $150 to $199
rent_gross_distr_04,B25063_006E,Gross rent $200 to $249
rent_gross_distr_05,B25063_007E,Gross rent $250 to $299
rent_gross_distr_06,B25063_008E,Gross rent $300 to $349
rent_gross_distr_07,B25063_009E,Gross rent $350 to $399
rent_gross_distr_08,B25063_010E,Gross rent $400 to $449
rent_gross_distr_09,B25063_011E,Gross rent $450 to $499
rent_gross_distr_10,B25063_012E,Gross rent $500 to $549
rent_gross_distr_11,B25063_013E,Gross rent $550 to $599
rent_gross_distr_12,B25063_014E,Gross rent $600 to $649
rent_gross_distr_13,B25063_015E,Gross rent $650 to $699
rent_gross_distr_14,B25063_016E,Gross rent $700 to $749
rent_gross_distr_15,B25063_017E,Gross rent $750 to $799
rent_gross_distr_16,B25063_018E,Gross rent $800 to $899
rent_gross_distr_17,B25063_019E,Gross rent $900 to $999
rent_gross_distr_18,B25063_020E,Gross rent $1000 to $1249
rent_gross_distr_19,B25063_021E,Gross rent $1250 to $1499
rent_gross_distr_20,B25063_022E,Gross rent $1500 to $1999
rent_gross_distr_21,B25063_023E,Gross rent $2000 or more
own_costs_med,B25088_001E,Median selected monthly owner costs
own_costs_med_mortg,B25088_002E,Median selected monthly owner costs for housing units with a mortgage (dollars)
own_costs_med_nomortg,B25088_003E,Median selected monthly owner costs for housing units without a mortgage (dollars)
ownhh_age_distrib_1,B25093_002E,Number of owner householders 15 to 24 years
owner_costs_pctincome_age_1,B25093_006E,Number of owner householders 15 to 24 years with selected monthly owner costs between 30-35% of household income
owner_costs_pctincome_age_2,B25093_007E,Number of owner householders 15 to 24 years with selected monthly owner costs more than 35% of household income
ownhh_age_distrib_2,B25093_009E,Number of owner householders 25 to 34 years
owner_costs_pctincome_age_3,B25093_013E,Number of owner householders 25 to 34 years with selected monthly owner costs between 30-35% of household income
owner_costs_pctincome_age_4,B25093_014E,Number of owner householders 25 to 34 years with selected monthly owner costs more than 35% of household income
ownhh_age_distrib_3,B25093_016E,Number of owner householders 35 to 64 years
owner_costs_pctincome_age_5,B25093_020E,Number of owner householders 35 to 64 years with selected monthly owner costs between 30-35% of household income
owner_costs_pctincome_age_6,B25093_021E,Number of owner householders 35 to 64 years with selected monthly owner costs more than 35% of household income
ownhh_age_distrib_4,B25093_023E,Number of owner householders 65 years and over
owner_costs_pctincome_age_7,B25093_027E,Number of owner householders 65 and over years with selected monthly owner costs between 30-35% of household income
owner_costs_pctincome_age_8,B25093_028E,Number of owner householders 65 and over years with selected monthly owner costs more than 35% of household income
renthh_age_distrib_1,B25072_002E,Number of renter householders 15 to 24 years
renter_costs_pctincome_age_1,B25072_006E,Number of renter householders 15 to 24 years with gross rent between 30-35% of household income
renter_costs_pctincome_age_2,B25072_007E,Number of renter householders 15 to 24 years with gross rent more than 35% of household income
renthh_age_distrib_2,B25072_009E,Number of renter householders 25 to 34 years
renter_costs_pctincome_age_3,B25072_013E,Number of renter householders 25 to 34 years with gross rent between 30-35% of household income
renter_costs_pctincome_age_4,B25072_014E,Number of renter householders 25 to 34 years with gross rent more than 35% of household income
renthh_age_distrib_3,B25072_016E,Number of renter householders 35 to 64 years
renter_costs_pctincome_age_5,B25072_020E,Number of renter householders 35 to 64 years with gross rent between 30-35% of household income
renter_costs_pctincome_age_6,B25072_021E,Number of renter householders 35 to 64 years with gross rent more than 35% of household income
renthh_age_distrib_4,B25072_023E,Number of renter householders 65 years and over
renter_costs_pctincome_age_7,B25072_027E,Number of renter householders 65 and over years with gross rent between 30-35% of household income
renter_costs_pctincome_age_8,B25072_028E,Number of renter householders 65 and over years with gross rent more than 35% of household income
owner_costs_pctincome_mortg_tot,B25091_002E,Total housing units with a mortgage:
owner_costs_pctincome_mortg_1,B25091_008E,Number of housing units with a mortgage that spends 30.0 to 34.9 % of the income on housing
owner_costs_pctincome_mortg_2,B25091_009E,Number of housing units with a mortgage that spends 35.0 to 39.9 % of the income on housing
owner_costs_pctincome_mortg_3,B25091_010E,Number of housing units with a mortgage that spends 40.0 to 49.9 % of the income on housing
owner_costs_pctincome_mortg_4,B25091_011E,Number of housing units with a mortgage that spends 50.0 % or more of the income on housing
owner_costs_pctincome_nomortg_tot,B25091_013E,Total housing units without a mortgage
owner_costs_pctincome_nomortg_1,B25091_019E,Number of housing units without a mortgage that spends 30.0 to 34.9 % of the income on housing
owner_costs_pctincome_nomortg_2,B25091_020E,Number of housing units without a mortgage that spends 35.0 to 39.9 % of the income on housing
owner_costs_pctincome_nomortg_3,B25091_021E,Number of housing units without a mortgage that spends 40.0 to 49.9 % of the income on housing
owner_costs_pctincome_nomortg_4,B25091_022E,Number of housing units without a mortgage that spends 50.0 % or more of the income on housing
rent_pctincome_tot,B25070_001E,Total rented housing units
rent_pctincome_1,B25070_007E,Number of rented housing units that spends 30% - 34.99% of their income on housing
rent_pctincome_2,B25070_008E,Number of rented housing units that spends 35% - 39.99% of their income on housing
rent_pctincome_3,B25070_009E,Number of rented housing units that spends 40% - 49.99% of their income on housing
rent_pctincome_4,B25070_010E,Number of rented housing units that spends 50% of their income on housing



